indicator,country,country_code,year,value
Tax_revenue_percent_GDP,Australia,AU,2022,23.5614929509239
Tax_revenue_percent_GDP,Canada,CA,2024,13.8761714989132
Tax_revenue_percent_GDP,Denmark,DK,2024,33.3582767843919
Tax_revenue_percent_GDP,Finland,FI,2024,25.3309320452379
Tax_revenue_percent_GDP,France,FR,2024,22.778486344686
Tax_revenue_percent_GDP,Germany,DE,2024,10.890812364142
Tax_revenue_percent_GDP,Netherlands,NL,2024,25.2552654484484
Tax_revenue_percent_GDP,Norway,NO,2024,25.4201299848401
Tax_revenue_percent_GDP,Sweden,SE,2024,27.2765019452673
Tax_revenue_percent_GDP,United Kingdom,GB,2024,26.9583697121296
Tax_revenue_percent_GDP,United States,US,2024,10.9743898103877
Income_profits_capital_gains_tax_percent_revenue,Australia,AU,2022,67.8574414850167
Income_profits_capital_gains_tax_percent_revenue,Canada,CA,2024,53.9063330188345
Income_profits_capital_gains_tax_percent_revenue,Denmark,DK,2024,51.443234387047
Income_profits_capital_gains_tax_percent_revenue,Finland,FI,2024,26.8190702812951
Income_profits_capital_gains_tax_percent_revenue,France,FR,2024,29.1000219518148
Income_profits_capital_gains_tax_percent_revenue,Germany,DE,2024,16.4910484192811
Income_profits_capital_gains_tax_percent_revenue,Netherlands,NL,2024,35.5457290137514
Income_profits_capital_gains_tax_percent_revenue,Norway,NO,2024,28.4962927039591
Income_profits_capital_gains_tax_percent_revenue,Sweden,SE,2024,18.1787929251917
Income_profits_capital_gains_tax_percent_revenue,United Kingdom,GB,2024,40.5803756048265
Income_profits_capital_gains_tax_percent_revenue,United States,US,2024,56.3115856422059
Goods_services_tax_percent_revenue,Australia,AU,2022,17.7852424536736
Goods_services_tax_percent_revenue,Canada,CA,2024,13.8172321741959
Goods_services_tax_percent_revenue,Denmark,DK,2024,31.4334718295782
Goods_services_tax_percent_revenue,Finland,FI,2024,31.5059063482621
Goods_services_tax_percent_revenue,France,FR,2024,18.8612367956662
Goods_services_tax_percent_revenue,Germany,DE,2024,19.9726827517719
Goods_services_tax_percent_revenue,Netherlands,NL,2024,26.2798795936398
Goods_services_tax_percent_revenue,Norway,NO,2024,18.522577618859
Goods_services_tax_percent_revenue,Sweden,SE,2024,34.6519789164608
Goods_services_tax_percent_revenue,United Kingdom,GB,2024,31.0918761101089
Goods_services_tax_percent_revenue,United States,US,2024,2.07768394797955
Gini_index,Australia,AU,2020,33.8
Gini_index,Canada,CA,2022,31.5
Gini_index,Denmark,DK,2023,29.9
Gini_index,Finland,FI,2023,27.4
Gini_index,France,FR,2023,31.8
Gini_index,Germany,DE,2022,33.7
Gini_index,Japan,JP,2020,32.3
Gini_index,Netherlands,NL,2021,25.7
Gini_index,Norway,NO,2023,26.5
Gini_index,Sweden,SE,2023,29.3
Gini_index,United Kingdom,GB,2021,32.4
Gini_index,United States,US,2024,41.8
Trade_percent_GDP,Australia,AU,2024,47.1453811065195
Trade_percent_GDP,Canada,CA,2024,65.1499212653783
Trade_percent_GDP,Denmark,DK,2024,131.765030975207
Trade_percent_GDP,Finland,FI,2024,83.4601015353507
Trade_percent_GDP,France,FR,2024,68.1081875443744
Trade_percent_GDP,Germany,DE,2024,79.0907305894936
Trade_percent_GDP,Japan,JP,2024,46.4069516150859
Trade_percent_GDP,Netherlands,NL,2024,153.83065216636
Trade_percent_GDP,Norway,NO,2024,81.3635091827243
Trade_percent_GDP,Sweden,SE,2024,105.883091480464
Trade_percent_GDP,United Kingdom,GB,2024,62.8401605267118
Trade_percent_GDP,United States,US,2024,25.3786342507088
Government_expense_percent_GDP,Australia,AU,2022,27.5833132925557
Government_expense_percent_GDP,Canada,CA,2023,19.2603133808938
Government_expense_percent_GDP,Denmark,DK,2023,33.3385713177252
Government_expense_percent_GDP,Finland,FI,2023,44.9319767782795
Government_expense_percent_GDP,France,FR,2023,47.2580360132692
Government_expense_percent_GDP,Germany,DE,2022,31.174891399437
Government_expense_percent_GDP,Japan,JP,2022,20.9311943137094
Government_expense_percent_GDP,Netherlands,NL,2023,39.9696990762123
Government_expense_percent_GDP,Norway,NO,2023,35.8939296791432
Government_expense_percent_GDP,Sweden,SE,2022,32.505108387211
Government_expense_percent_GDP,United Kingdom,GB,2023,41.2292290721047
Government_expense_percent_GDP,United States,US,2023,24.8982825568771
Education_expenditure_percent_GDP,Australia,AU,2022,5.05915021896362
Education_expenditure_percent_GDP,Canada,CA,2022,4.84426021575928
Education_expenditure_percent_GDP,Denmark,DK,2022,6.35586023330688
Education_expenditure_percent_GDP,Finland,FI,2022,6.37578010559082
Education_expenditure_percent_GDP,France,FR,2022,5.32434988021851
Education_expenditure_percent_GDP,Germany,DE,2022,5.23916006088257
Education_expenditure_percent_GDP,Japan,JP,2021,3.33663988113403
Education_expenditure_percent_GDP,Netherlands,NL,2022,5.17918014526367
Education_expenditure_percent_GDP,Norway,NO,2022,5.43234014511108
Education_expenditure_percent_GDP,Sweden,SE,2022,7.31909990310669
Education_expenditure_percent_GDP,United Kingdom,GB,2021,5.90681982040405
Education_expenditure_percent_GDP,United States,US,2021,5.42038011550903
Electricity_fossil_fuels_percent,Australia,AU,2023,66.0758396059372
Electricity_fossil_fuels_percent,Canada,CA,2023,19.6730816016379
Electricity_fossil_fuels_percent,Denmark,DK,2023,11.1585438159611
Electricity_fossil_fuels_percent,Finland,FI,2023,5.22933529556046
Electricity_fossil_fuels_percent,France,FR,2023,7.43712665981813
Electricity_fossil_fuels_percent,Germany,DE,2023,43.2012518534581
Electricity_fossil_fuels_percent,Japan,JP,2023,64.282878936576
